SchoolDepartment,ProjectTitle,Finish Time,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Technical Comm and Media,Site Improve Implementation,,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,,2019-05-13,04:04:00 PM
Financal Engineering,Digital Government Experience Award Submission,,jbeney8@unesco.org,News Writing and Editing,Rachid Khattabi,,13-05-2019,16:05:00
Technical Comm and Media,Swearing in for Tacoma Judge Dwayne Christopher.,,jbeney8@unesco.org,News Writing and Editing,Rachid Khattabi,,2019-05-13,16:07:00
Safety Engineering & Crisis Management,Pierce County ALERT billboard,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,,2019-05-13,04:09:00 PM
Facilities and Maintenance Eng,Facility Finder Map Application,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,,13-05-2019,04:10:00 PM
Legal and Compliance Engin,Superior Court Annual Report Template,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,"Graphic Design, Proofreading and Quality Assurance",16-05-2019,07:01:00
Facilities & Maintenance Engineering,Presentation for Resource Conservation Summit,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,"Graphic Design, Technical Documentation",2019-05-16,07:03:00
Financial Eng,Open Pierce County Presentation to Socrata,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,Graphic Design,2019-05-16,07:04:00 AM
Engineering Leadership & Strategy,Boards and Commissions Portal,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,"Public Outreach and Engagement, Website Programming, Graphic Design",16-05-2019,07:06:00 AM
Quality Assurance and Risk Manag,Email Address Request,,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,,16-05-2019,07:07:00
Engineering Leadership & Strategy,Pierce County Connect 311 CRM Tool,,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,"Public Outreach and Engagement, Graphic Design, News and Media Communication, Technical Documentation, Website Programming, Social Media Strategy",2019-05-16,07:41:00
Urban Planning and Public Infrastr,Board of Equalization Update,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,07:42:00 AM
Facilities & Maintenance Engineering,CCB Nollmeyer Security Enhancements,,jbeney8@unesco.org,Internal and External Communication,Rachid Khattabi,"Public Outreach and Engagement, Graphic Design, Technical Documentation, Video Editing and Production, Website Programming",2019-05-16,07:45:00 AM
Documentation & Knowledge Management,Janine Cavalier Retirement,,jbeney8@unesco.org,Internal and External Communication,Rachid Khattabi,,16-05-2019,07:46:00 AM
Hydraulics and Water Resources Eng,FCZD Update,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,07:49:00 AM
Safety Engineering & Crisis Management,Combined Communications Network Board Photo,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,"Video Editing, Website Programming",16-05-2019,07:50:00 AM
Regulatory Engineering,Photoboard and HR Mailbox for PA's Office,,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,,2019-05-16,07:53:00 AM
Legal and Compliance Eng,Judge Foley Retirement,,jbeney8@unesco.org,Internal and External Communication,Rachid Khattabi,"Website Programming, News and Media Communication",2019-05-16,07:57:00
Engineering Leadership and Strat,Public Works Org Chart - Large Format,,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,Graphic Design,16-05-2019,07:59:00
Urban Planning and Public Infra,Facebook Website Redirects,,jbeney8@unesco.org,Social Media Strategy,Rachid Khattabi,,2019-05-16,08:11:00 AM
Academic Affairs and Staff Devel,Total Comp Website,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,08:12:00 AM
Social Impact Eng,ADRC Rack Cards,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,,16-05-2019,08:13:00
Safety Eng and Crisis Management,Fire Prevention Website Redesign,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,,16-05-2019,08:15:00
Legal and Compliance Engin,Website Court History Project,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,08:16:00
Social Impact Engineering,Certificates for PIT Volunteers,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,,2019-05-16,08:17:00 AM
Industrial & Systems Engineering,Invest Pierce County Assistance,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,"Graphic Design, Website Programming, Social Media Strategy",16-05-2019,08:19:00
Technical Comm and Media,Winter Storm County Closures,,jbeney8@unesco.org,Issue and Risk Management,Rachid Khattabi,Website Programming,2019-05-16,08:20:00 AM
Urban Planning and Public Infrastr,LUACS Update,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,2019-05-16,08:22:00
Tech Communication and Media,SOTC Invite and Communication Materials,,jbeney8@unesco.org,Event Management and Logistics,Rachid Khattabi,"Graphic Design, Website Programming",2019-05-16,08:26:00
Academic Affairs and Staff Dev,DEI Monthly Report Form,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,2019-05-16,08:28:00 AM
Social Impact Engin,Caregiver Holiday Ad,,jbeney8@unesco.org,Video Editing and Production,Rachid Khattabi,Video Editing and Production,2019-05-16,08:29:00
Social Impact Eng,Job Recruitment Flyer,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,Graphic Design,16-05-2019,08:31:00 AM
Urban Planning & Public Infrastructure,911 Addressing Project - Data Restoration,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,2019-05-16,08:33:00
Academic Affairs & Staff Development,Job Announcement Flyer,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,Graphic Design,2019-05-16,08:36:00
Legal & Compliance Engineering,Superior Court Judge Photos,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,"Video Editing, Proofreading and Quality Assurance",16-05-2019,08:38:00 AM
Administrative and Procedural Eng,Redesign District Court Web,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,08:39:00 AM
Urban Planning and Public Infrastr,Prezi Design,,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,,16-05-2019,08:41:00 AM
Urban Planning & Public Infrastructure,Ferry Tracker and Data Portal,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,2019-05-16,08:42:00 AM
Tech Communication and Media,SurveyGizmo Transition,,jbeney8@unesco.org,,Rachid Khattabi,"Website Programming, Proofreading and Quality Assurance",2019-05-16,04:37:00 PM
Engineering Leadership and Strat,Headshots,,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,Video Editing,2019-05-16,16:42:00
Academic Affairs & Staff Development,Job Recruitment Flyer - Director of Human Services,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,Graphic Design,16-05-2019,16:43:00
Security Systems Eng,Retirement Announcement for Julie Williams,,jbeney8@unesco.org,Internal and External Communication,Rachid Khattabi,Graphic Design,2019-05-16,04:45:00 PM
Financal Engineering,Sewer Billing Replacement Support,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,"Website Programming, Graphic Design, Proofreading and Quality Assurance",2019-05-16,16:49:00
Academic Affairs and Staff Devel,Internship Program Rack Card,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,Graphic Design,2019-05-16,16:49:00
Environmental and Civil Engin,Sprinker Calendar System,,jbeney8@unesco.org,Strategic Planning and Project Management,Rachid Khattabi,,2019-05-16,04:51:00 PM
Urban Planning & Public Infrastructure,Community Plan Open Houses Analytic Reports,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,,16-05-2019,04:52:00 PM
Academic Affairs and Staff Devel,Employee Feedback Survey Support,,jbeney8@unesco.org,Internal and External Communication,Rachid Khattabi,Website Programming,16-05-2019,04:54:00 PM
Academic Affairs and Staff Devel,Employee Assistance Banner Design,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,Graphic Design,2019-05-16,16:58:00
Financal Engineering,Finance Website Updates,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,2019-05-16,17:00:00
Safety Engineering & Crisis Management,Volcano Hazard Video,,jbeney8@unesco.org,Video Editing and Production,Rachid Khattabi,Video Editing and Production,2019-05-16,05:03:00 PM
Industrial and Systems Engin,Adobe Spark for Economic Development Newsletter,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,"Graphic Design, Website Programming",16-05-2019,17:06:00
Academic Affairs and Staff Devel,Job Recruitment for Facilities Deputy Director,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,"Proofreading and Quality Assurance, Graphic Design, Website Programming",16-05-2019,17:07:00
Safety Eng and Crisis Management,Unified Radio System Logo,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,Graphic Design,2019-05-16,05:09:00 PM
Eng Leadership and Strategy,Birth to 25 Advisory Commission,,jbeney8@unesco.org,,Rachid Khattabi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Technical Documentation, Website Programming",2019-05-16,05:13:00 PM
Quality Assurance and Risk Manag,Retrieval of Data for Public Record,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,17:14:00
Environmental & Civil Engineering,"Parks, Recreation and Open Space Plan",,jbeney8@unesco.org,Strategic Planning and Project Management,Rachid Khattabi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Event Coordination, Technical Documentation, Website Programming, Social Media Strategy, Video Editing and Production",2019-05-16,17:16:00
Technical Communication & Media,Active Volcano Website,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,2019-05-16,17:18:00
Financal Engineering,Open Pierce County PowerPoint Template,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,,31-05-2019,19:29:00
Academic Affairs and Staff Devel,Standing Ovation Award nominations due June 28,,jbeney8@unesco.org,Internal and External Communication,Rachid Khattabi,Graphic Design,11-06-2019,06:51:00 PM
Academic Affairs & Staff Development,Intranet Rights for David Blake (new employee),,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,,2020-01-22,00:00:00
Academic Affairs & Staff Development,Intranet Rights for David Blake (new employee),,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,,2020-01-22,19:17:00
Ethics and Professional Cond,DAC logo,,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,Graphic Design,2020-04-27,23:41:00
Financial Enginering,Button UI Design Help,,jbeney8@unesco.org,Website Programming,Rachid Khattabi,"Website Programming, Graphic Design",20-11-2020,09:09:00 PM
Financial Eng,Web Admin Training,,jbeney8@unesco.org,,Rachid Khattabi,Website Programming,24-02-2021,01:18:00 AM
Technical Comm and Media,Want Ads Replacement,,unvalid,Website Programming,"Rachid Khattabi, Samira Alaoui",Website Programming,2019-05-16,16:39:00
Eng Leadership and Strategy,End of the Year Video,,bwidmoora@alibaba.com,Video Editing and Production,Nawal Chraibi,"Writing and Editing, Video Editing and Production, Social Media Strategy",2018-01-03,08:10:00 PM
Engineering Leadership & Strategy,State of the County - speech,,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,"Writing and Editing, Proofreading and Quality Assurance, Public Outreach and Engagement",30-01-2018,23:35:00
Academic Affairs and Staff Dev,Total Compensation,,bwidmoora@alibaba.com,Strategic Planning and Project Management,Nawal Chraibi,"Internal and External Communication, Proofreading and Quality Assurance, Writing and Editing",2018-01-30,11:38:00 PM
Environmental & Civil Engineering,Foothills Trail opening,,bwidmoora@alibaba.com,Public Relations,Nawal Chraibi,"Public Relations, News and Media Communication, Proofreading and Quality Assurance, Social Media Strategy, Writing and Editing",2018-01-30,23:40:00
Eng Leadership and Strategy,Public Records Center news release,,bwidmoora@alibaba.com,News Writing and Editing,Nawal Chraibi,"Public Relations, Website Programming, Social Media Strategy",2018-01-30,23:41:00
Environmental and Civil Eng,Parks Branding,,bwidmoora@alibaba.com,Strategic Planning and Project Management,Nawal Chraibi,,2018-01-30,11:43:00 PM
Technical Communication & Media,Implement Meltwater media monitoring,,bwidmoora@alibaba.com,Public Relations,Nawal Chraibi,"Public Relations, Website Programming",30-01-2018,11:45:00 PM
Safety Engineering & Crisis Management,Pierce County communication leaders presenting at international expo,,bwidmoora@alibaba.com,News Writing and Editing,Nawal Chraibi,"Proofreading and Quality Assurance, News and Media Communication",2018-03-06,08:26:00 PM
Eng Leadership and Strategy,"Dammeier outlines 2017 successes, 2018 priorities in State of the County address",,bwidmoora@alibaba.com,News Writing and Editing,Nawal Chraibi,"Proofreading and Quality Assurance, News and Media Communication, Website Programming, Writing and Editing",21-03-2018,20:19:00
Engineering Leadership and Strat,Pierce County leaders announce proposals for family-wage job credits,,bwidmoora@alibaba.com,News Writing and Editing,Nawal Chraibi,"Proofreading and Quality Assurance, News and Media Communication",22-05-2018,23:01:00
Facilities & Maintenance Engineering,Water being tested for discoloration on CCB campus,,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Proofreading and Quality Assurance,2019-05-07,07:59:00 PM
Eng Leadership and Strategy,Jan 4 blog,,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,17:50:00
Engineering Leadership and Strat,Jan 11 Blog,,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,05:53:00 PM
Engineering Leadership and Strat,Jan 18 blog,,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,17:54:00
Engineering Leadership & Strategy,Jan 25 blog,,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,2019-05-13,05:55:00 PM
Engineering Leadership & Strategy,Feb 8 blog,,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,17:56:00
Engineering Leadership & Strategy,Feb 1 blog,,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,2019-05-13,17:56:00
Engineering Leadership & Strategy,Feb 15 blog,,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,17:57:00
